developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,total_reviews,total_positive,total_negative,positive_percentual,metacritic,is_free,price_initial (USD),label_positive,release_year
['ProtoGames'],['ProtoGames'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Adventure', 'Indie', 'RPG', 'Strategy']",0,0,"['windows', 'mac', 'linux']",True,8,8,0,100.0,0,False,11.99,1,
['Dynamic Games'],['Dynamic Games'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",0,5,['windows'],True,2,2,0,100.0,0,False,0.99,1,
['Hentai works'],['Hentai works'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",0,20,"['windows', 'mac', 'linux']",True,8,7,1,87.5,0,False,0.99,1,
['Rabbit Studios'],['Rabbit Studios'],"['Single-player', 'Family Sharing']",['Action'],0,0,['windows'],True,5,4,1,80.0,0,False,4.99,1,
['DeerFarm'],"['CFK Co., Ltd.']","['Single-player', 'Full controller support', 'Family Sharing']","['Casual', 'Indie']",0,20,['windows'],True,9,8,1,88.9,0,False,14.99,1,
['火花工作室'],"['火花工作室', '钢爪工作室']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Casual', 'RPG', 'Simulation']",0,13,"['windows', 'mac']",True,7,6,1,85.7,0,False,0.99,1,
['Innocent Grey'],['Shiravune'],"['Single-player', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Simulation']",0,0,['windows'],True,45,45,0,100.0,0,False,24.99,1,
['EpiXR Games UG'],['EpiXR Games UG'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",0,11,['windows'],True,7,7,0,100.0,0,False,9.99,1,
['EpiXR Games UG'],['EpiXR Games UG'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",0,10,['windows'],True,1,1,0,100.0,0,False,9.99,1,
['EpiXR Games UG'],['EpiXR Games UG'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",0,10,['windows'],True,5,5,0,100.0,0,False,9.99,1,
['devKuroro'],['devKuroro'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Full controller support', 'Captions available', 'Family Sharing']",['Sports'],0,0,['windows'],True,2,1,1,50.0,0,False,1.99,0,
['Nons Games'],['Nons Games'],"['Single-player', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Simulation', 'Early Access']",0,0,['windows'],True,23,8,15,34.8,0,False,4.99,0,
"['Beijing 1023 Technology CO., Ltd']","['Beijing 1023 Technology CO., Ltd']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",0,8,['windows'],True,6,5,1,83.3,0,False,11.99,1,
['ReadyToPlay'],['ReadyToPlay'],"['Single-player', 'Family Sharing']","['Action', 'Adventure', 'RPG']",0,0,['windows'],True,14,11,3,78.6,0,False,0.99,0,
['Hyena Worm'],['Hyena Worm'],"['Single-player', 'Family Sharing']","['Adventure', 'Indie']",0,0,['windows'],True,4,2,2,50.0,0,False,6.99,0,
['Blue Lemonade Games'],['Blue Lemonade Games'],"['Single-player', 'Full controller support', 'Family Sharing']","['Adventure', 'Indie', 'RPG']",0,0,['windows'],True,1,1,0,100.0,0,False,7.99,1,
['BanzaiProject'],['BanzaiProject'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']","['Casual', 'RPG', 'Simulation']",0,14,['windows'],True,86,73,13,84.9,0,False,9.99,1,
['Lidya Art'],['Lidya Art'],"['Single-player', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'Simulation']",0,0,['windows'],True,2,0,2,0.0,0,False,2.99,0,
"['X-ray Games', 'Michael Hayes']",['X-ray Games'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",0,4,['windows'],True,1,0,1,0.0,0,False,4.99,0,
['EpiRPG'],"['EpiRPG', 'EpiXR Games UG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Adventure', 'Indie', 'RPG', 'Early Access']",0,10,['windows'],True,27,26,1,96.3,0,False,29.99,1,
['Andre David Dev'],['Andre David Dev'],"['Single-player', 'Steam Cloud', 'Family Sharing']",['Indie'],0,0,['windows'],True,6,6,0,100.0,0,False,2.99,1,
['Lilou Studio'],['Lilou Studio'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie', 'RPG', 'Simulation']",0,4,['windows'],True,97,83,14,85.6,0,False,7.99,1,
['Dualarcade'],['Shady Corner Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Adventure', 'Casual']",0,10,"['windows', 'linux']",True,80,66,14,82.5,0,False,5.99,1,
['Boomzap Inc'],['Boomzap Inc'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",['Casual'],0,14,"['windows', 'mac']",True,2,2,0,100.0,0,False,11.99,1,
['Boomzap Inc'],['Boomzap Inc'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Casual']",0,18,"['windows', 'mac']",True,1,1,0,100.0,0,False,11.99,1,
